,index,Rental price,Deposit,Number rooms,Number floors,Number bathrooms,Surface area,Interior,House Type,Construction Year,Balcony,Deposit Rent ratio,1_x,1_y
0,https://www.pararius.com/apartment-for-rent/amsterdam/d3eacdba/des-presstraat,2750.0,,4.0,3.0,2.0,92.0,,Apartment,1926.0,1,,Zuid,Zuid
1,https://www.pararius.com/apartment-for-rent/amsterdam/5ca40c05/banstraat,2100.0,,2.0,1.0,1.0,75.0,Upholstered or furnished,Apartment,1910.0,1,,Zuid,Zuid
2,https://www.pararius.com/apartment-for-rent/amsterdam/f5914e7a/ijselstraat,1800.0,3600.0,3.0,1.0,1.0,55.0,Upholstered,Apartment,1925.0,1,2.0,Zuid,Zuid
3,https://www.pararius.com/apartment-for-rent/amsterdam/fa1457a2/lutmastraat,2400.0,4800.0,4.0,1.0,1.0,75.0,Furnished,Apartment,1921.0,0,2.0,Zuid,Zuid
4,https://www.pararius.com/apartment-for-rent/amsterdam/0a20f4da/jan-willem-brouwersstraat,4200.0,,4.0,2.0,1.0,130.0,,Apartment,1899.0,1,,Zuid,Zuid
5,https://www.pararius.com/house-for-rent/amsterdam/06953b2b/leimuidenstraat,2250.0,,3.0,,1.0,90.0,Upholstered,House,1931.0,1,,Zuid,Zuid
6,https://www.pararius.com/apartment-for-rent/amsterdam/3c1501de/sloterkade,2050.0,4100.0,3.0,1.0,1.0,65.0,Upholstered,Apartment,1929.0,1,2.0,Zuid,Zuid
7,https://www.pararius.com/apartment-for-rent/amsterdam/a84db78e/nicolaas-witsenkade,7950.0,,6.0,2.0,2.0,200.0,,Apartment,1897.0,0,,Zuid,Zuid
8,https://www.pararius.com/apartment-for-rent/amsterdam/70509212/amstelkade,1900.0,3800.0,3.0,1.0,1.0,65.0,Upholstered,Apartment,1923.0,1,2.0,Zuid,Zuid
9,https://www.pararius.com/house-for-rent/amsterdam/01281c89/amsteldijk,3000.0,6000.0,6.0,,,120.0,Furnished,House,,,2.0,Zuid,Zuid
10,https://www.pararius.com/apartment-for-rent/amsterdam/4f4b88d9/nieuwe-spiegelstraat,2500.0,,3.0,2.0,1.0,90.0,Upholstered,Apartment,1991.0,1,,Centrum,Centrum
11,https://www.pararius.com/apartment-for-rent/amsterdam/77047e95/lijnbaansgracht,2450.0,,3.0,,1.0,95.0,Furnished,Apartment,,0,,Centrum,Centrum
12,https://www.pararius.com/apartment-for-rent/amsterdam/e8c6a1da/hazenstraat,2600.0,,3.0,3.0,2.0,90.0,Furnished,Apartment,1906.0,0,,Centrum,Centrum
13,https://www.pararius.com/house-for-rent/amsterdam/fa414f19/kerkstraat,6350.0,,6.0,4.0,3.0,198.0,Upholstered,House,1672.0,0,,Centrum,Centrum
14,https://www.pararius.com/apartment-for-rent/amsterdam/f76fee95/sarphatistraat,2250.0,4500.0,2.0,1.0,1.0,100.0,Furnished,Apartment,2005.0,1,2.0,Centrum,Centrum
